run_id,step,x,y,direction,front_blocked,left_blocked,right_blocked,distance_to_goal,action,action_success,collision,true_front_blocked,true_left_blocked,true_right_blocked,pre_x,pre_y,pre_direction,pre_front_blocked,pre_left_blocked,pre_right_blocked,pre_true_front_blocked,pre_true_left_blocked,pre_true_right_blocked,pre_distance_to_goal,pre_dx_to_goal,pre_dy_to_goal,dx_to_goal,dy_to_goal,reward,done,event
v0_7_original_bc_corridor_right_turn,34,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,35,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,36,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,37,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,38,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,39,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,40,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,41,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,42,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,43,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,44,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,45,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,46,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,47,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,48,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
v0_7_original_bc_corridor_right_turn,49,5,1,east,1,0,1,6,forward,1,1,1,0,1,5,1,east,1,0,1,1,0,1,6,1,5,1,5,-2.00,0,collision
