dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,obstacle_reachable_8x8,v0_5_obstacle_reachable_8x8_1,14,5,7,east,6,7,east,0,0,1,0,0,1,2,2,0,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,obstacle_reachable_8x8,v0_5_obstacle_reachable_8x8_1,15,6,7,east,7,7,east,0,0,1,0,0,1,1,1,0,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,turn_choice_8x8,v0_5_turn_choice_8x8_3,0,3,3,north,3,3,east,1,1,0,1,1,0,4,4,0,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,turn_choice_8x8,v0_5_turn_choice_8x8_3,1,3,3,east,4,3,east,0,1,0,0,1,0,4,4,0,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,turn_choice_8x8,v0_5_turn_choice_8x8_3,2,4,3,east,5,3,east,0,1,0,0,1,0,3,3,0,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,turn_choice_8x8,v0_5_turn_choice_8x8_3,3,5,3,east,6,3,east,0,0,0,0,0,0,2,2,0,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,turn_choice_8x8,v0_5_turn_choice_8x8_3,4,6,3,east,7,3,east,0,0,0,0,0,0,1,1,0,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,0,0,3,east,1,3,east,0,0,0,0,0,0,7,7,0,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,1,1,3,east,1,3,north,1,0,0,1,0,0,6,6,0,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,2,1,3,north,1,2,north,0,0,1,0,0,1,6,6,0,forward,-1.10,0,1,true
