dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,14,7,3,north,7,2,north,0,0,1,0,0,1,3,-1,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,15,7,2,north,7,1,north,0,0,1,0,0,1,2,-1,-1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,16,7,1,north,7,0,north,0,0,1,0,0,1,1,-1,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,17,7,0,north,7,0,west,1,0,1,1,0,1,2,-1,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,18,7,0,west,6,0,west,0,0,1,0,0,1,2,-1,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,19,6,0,west,5,0,west,0,0,1,0,0,1,1,0,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,20,5,0,west,4,0,west,0,0,1,0,0,1,2,1,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,21,4,0,west,3,0,west,0,0,1,0,0,1,3,2,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,22,3,0,west,2,0,west,0,0,1,0,0,1,4,3,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,23,2,0,west,1,0,west,0,0,1,0,0,1,5,4,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,24,1,0,west,0,0,west,0,0,1,0,0,1,6,5,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,25,0,0,west,0,0,south,1,0,1,1,0,1,7,6,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,26,0,0,south,0,1,south,0,0,1,0,0,1,7,6,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,27,0,1,south,0,2,south,0,0,1,0,0,1,6,6,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,28,0,2,south,0,3,south,0,0,1,0,0,1,7,6,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,29,0,3,south,0,4,south,0,0,1,0,0,1,8,6,-2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,30,0,4,south,0,4,east,1,0,1,1,0,1,9,6,-3,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,31,0,4,east,1,4,east,0,0,1,0,0,1,9,6,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,32,1,4,east,2,4,east,0,0,0,0,0,0,8,5,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,33,2,4,east,3,4,east,0,0,1,0,0,1,7,4,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,34,3,4,east,4,4,east,0,0,1,0,0,1,6,3,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,35,4,4,east,5,4,east,0,0,1,0,0,1,5,2,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,36,5,4,east,6,4,east,0,0,1,0,0,1,4,1,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,37,6,4,east,6,4,north,0,0,1,0,0,1,3,0,-3,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,38,6,4,north,6,3,north,0,0,0,0,0,0,3,0,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,39,6,3,north,6,2,north,0,0,0,0,0,0,2,0,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_left_turn,v0_5_corridor_left_turn_4,40,6,2,north,6,1,north,0,0,0,0,0,0,1,0,-1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,0,1,1,east,2,1,east,0,0,0,0,0,0,10,5,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,1,2,1,east,3,1,east,0,0,1,0,0,1,9,4,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,2,3,1,east,4,1,east,0,0,1,0,0,1,8,3,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,3,4,1,east,5,1,east,0,0,1,0,0,1,7,2,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,4,5,1,east,5,1,north,1,0,1,1,0,1,6,1,5,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,5,5,1,north,5,0,north,0,0,1,0,0,1,6,1,5,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,6,5,0,north,5,0,east,1,0,0,1,0,0,7,1,6,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,7,5,0,east,6,0,east,0,1,0,0,1,0,7,1,6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,8,6,0,east,7,0,east,0,1,1,0,1,1,6,0,6,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,9,7,0,east,7,0,south,1,1,0,1,1,0,7,-1,6,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,10,7,0,south,7,1,south,0,1,0,0,1,0,7,-1,6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,11,7,1,south,7,2,south,0,1,1,0,1,1,6,-1,5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,12,7,2,south,7,3,south,0,1,1,0,1,1,5,-1,4,forward,0.90,0,1,true
